,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0,1,Male,19,15,39
2,3,Female,20,16,6
4,5,Female,31,17,40
6,7,Female,35,18,6
8,9,Male,64,19,3
10,11,Male,67,19,14
12,13,Female,58,20,15
14,15,Male,37,20,13
16,17,Female,35,21,35
18,19,Male,52,23,29
20,21,Male,35,24,35
22,23,Female,46,25,5
24,25,Female,54,28,14
26,27,Female,45,28,32
28,29,Female,40,29,31
30,31,Male,60,30,4
32,33,Male,53,33,4
34,35,Female,49,33,14
36,37,Female,42,34,17
38,39,Female,36,37,26
40,41,Female,65,38,35
42,43,Male,48,39,36
44,45,Female,49,39,28
